DFS Time (s),A* Time (s),UCS Time (s),IDS Time (s)
4.673004150390625e-05,6.818771362304688e-05,6.008148193359375e-05,0.0003101825714111328
3.4809112548828125e-05,4.506111145019531e-05,4.315376281738281e-05,0.00015091896057128906
0.00014591217041015625,0.00044083595275878906,0.0013458728790283203,0.0005741119384765625
3.0040740966796875e-05,3.790855407714844e-05,3.2901763916015625e-05,0.00010180473327636719
5.221366882324219e-05,6.031990051269531e-05,5.0067901611328125e-05,0.00021386146545410156
3.0994415283203125e-05,4.1961669921875e-05,3.409385681152344e-05,0.00013208389282226562
3.910064697265625e-05,5.125999450683594e-05,4.291534423828125e-05,0.000225067138671875
3.1948089599609375e-05,4.696846008300781e-05,3.981590270996094e-05,0.00013709068298339844
9.298324584960938e-05,0.0001232624053955078,0.00011014938354492188,0.0003819465637207031
5.602836608886719e-05,9.894371032714844e-05,6.508827209472656e-05,0.0003418922424316406
3.504753112792969e-05,5.0067901611328125e-05,4.506111145019531e-05,0.0001819133758544922
8.0108642578125e-05,0.00010800361633300781,5.698204040527344e-05,0.00018405914306640625
4.506111145019531e-05,7.009506225585938e-05,5.984306335449219e-05,0.0002989768981933594
4.1961669921875e-05,7.104873657226562e-05,5.91278076171875e-05,0.0003559589385986328
4.887580871582031e-05,6.103515625e-05,4.57763671875e-05,0.00023698806762695312
4.38690185546875e-05,6.794929504394531e-05,5.6743621826171875e-05,0.0003802776336669922
0.0001862049102783203,0.00024580955505371094,0.0008637905120849609,0.0007290840148925781
5.507469177246094e-05,7.224082946777344e-05,5.602836608886719e-05,0.0004029273986816406
9.918212890625e-05,6.29425048828125e-05,7.915496826171875e-05,0.00028705596923828125
3.3855438232421875e-05,4.7206878662109375e-05,4.315376281738281e-05,0.00014901161193847656
5.0067901611328125e-05,5.698204040527344e-05,7.128715515136719e-05,0.00021696090698242188
9.489059448242188e-05,0.00014400482177734375,0.00011086463928222656,0.0004038810729980469
3.981590270996094e-05,0.00011110305786132812,7.390975952148438e-05,0.00017595291137695312
4.601478576660156e-05,5.030632019042969e-05,3.7670135498046875e-05,0.00013494491577148438
4.506111145019531e-05,7.128715515136719e-05,5.698204040527344e-05,0.00043082237243652344
4.7206878662109375e-05,7.486343383789062e-05,7.295608520507812e-05,0.00036597251892089844
4.458427429199219e-05,4.291534423828125e-05,3.5762786865234375e-05,0.00010323524475097656
3.5762786865234375e-05,5.602836608886719e-05,4.220008850097656e-05,0.0001990795135498047
0.00013017654418945312,0.00015211105346679688,0.000537872314453125,0.0018200874328613281
4.887580871582031e-05,3.981590270996094e-05,3.1948089599609375e-05,9.012222290039062e-05
5.888938903808594e-05,5.507469177246094e-05,3.910064697265625e-05,0.00010967254638671875
4.076957702636719e-05,5.125999450683594e-05,4.38690185546875e-05,0.00015687942504882812
4.1961669921875e-05,5.0067901611328125e-05,4.315376281738281e-05,0.0002009868621826172
0.00013494491577148438,0.00022792816162109375,0.00016307830810546875,0.0008227825164794922
4.8160552978515625e-05,6.818771362304688e-05,5.602836608886719e-05,0.0003161430358886719
4.8160552978515625e-05,6.699562072753906e-05,5.984306335449219e-05,0.0003590583801269531
4.792213439941406e-05,4.076957702636719e-05,3.695487976074219e-05,0.0001232624053955078
3.409385681152344e-05,4.792213439941406e-05,4.982948303222656e-05,0.00015997886657714844
5.2928924560546875e-05,5.91278076171875e-05,5.1021575927734375e-05,0.00022602081298828125
4.696846008300781e-05,5.2928924560546875e-05,4.6253204345703125e-05,0.00018286705017089844
3.814697265625e-05,4.315376281738281e-05,4.315376281738281e-05,0.00010919570922851562
5.1975250244140625e-05,8.296966552734375e-05,6.079673767089844e-05,0.0002980232238769531
4.291534423828125e-05,6.67572021484375e-05,5.7220458984375e-05,0.0003979206085205078
0.00015306472778320312,0.00019097328186035156,0.00016689300537109375,0.0007948875427246094
4.410743713378906e-05,5.7220458984375e-05,4.506111145019531e-05,0.00019097328186035156
3.600120544433594e-05,4.601478576660156e-05,3.504753112792969e-05,0.0001399517059326172
2.8133392333984375e-05,3.981590270996094e-05,3.2901763916015625e-05,9.703636169433594e-05
2.8848648071289062e-05,4.506111145019531e-05,3.600120544433594e-05,0.0001430511474609375
3.62396240234375e-05,5.4836273193359375e-05,3.409385681152344e-05,9.799003601074219e-05
3.0994415283203125e-05,4.00543212890625e-05,3.3855438232421875e-05,0.00011706352233886719
8.511543273925781e-05,0.00010895729064941406,9.274482727050781e-05,0.00039505958557128906
0.00010395050048828125,0.00020313262939453125,9.703636169433594e-05,0.00037288665771484375
6.914138793945312e-05,0.00010704994201660156,9.226799011230469e-05,0.00026798248291015625
0.0002949237823486328,0.00028395652770996094,0.0002560615539550781,0.0007109642028808594
5.7220458984375e-05,5.602836608886719e-05,4.696846008300781e-05,0.00019311904907226562
3.6716461181640625e-05,5.3882598876953125e-05,4.291534423828125e-05,0.0002238750457763672
6.29425048828125e-05,5.602836608886719e-05,5.507469177246094e-05,0.00011110305786132812
5.078315734863281e-05,9.012222290039062e-05,6.413459777832031e-05,0.00011110305786132812
2.4080276489257812e-05,3.2901763916015625e-05,2.8133392333984375e-05,6.508827209472656e-05
7.176399230957031e-05,0.0001049041748046875,8.177757263183594e-05,0.00025081634521484375
9.608268737792969e-05,0.00014400482177734375,0.00013399124145507812,0.0007717609405517578
0.00011968612670898438,0.00017499923706054688,0.0001709461212158203,0.0007488727569580078
0.00015878677368164062,0.0001461505889892578,0.00011587142944335938,0.0004191398620605469
0.0001499652862548828,0.000308990478515625,0.00022983551025390625,0.0003490447998046875
4.38690185546875e-05,4.100799560546875e-05,3.314018249511719e-05,9.703636169433594e-05
4.673004150390625e-05,5.412101745605469e-05,4.792213439941406e-05,0.00019598007202148438
3.62396240234375e-05,4.9114227294921875e-05,4.00543212890625e-05,0.00018310546875
0.0001499652862548828,0.00011682510375976562,4.291534423828125e-05,0.0002071857452392578
7.510185241699219e-05,6.389617919921875e-05,5.984306335449219e-05,0.00022721290588378906
5.412101745605469e-05,8.392333984375e-05,7.104873657226562e-05,0.0003719329833984375
9.179115295410156e-05,0.00015783309936523438,6.580352783203125e-05,0.00018310546875
